unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1598486400000.0,2020-08-27 00:00:00,ETH/USD,386.01,397.26,371.58,383.56,18036.647345004694,6918136.45565
1598400000000.0,2020-08-26 00:00:00,ETH/USD,383.26,393.32,377.71,386.01,23094.89328786819,8914859.75805
1598313600000.0,2020-08-25 00:00:00,ETH/USD,407.92,409.28,370.15,383.26,27865.090235923395,10679574.48382
1598227200000.0,2020-08-24 00:00:00,ETH/USD,390.91,410.44,387.49,408.0,22002.714209583333,8977107.39751
1598140800000.0,2020-08-23 00:00:00,ETH/USD,395.57,397.31,383.65,390.91,19511.636899644418,7627293.98044
1598054400000.0,2020-08-22 00:00:00,ETH/USD,387.8,397.16,379.53,395.57,36354.1632456708,14380616.35509
1597968000000.0,2020-08-21 00:00:00,ETH/USD,416.22,419.12,384.09,387.8,42690.884252088705,16555524.91296
1597881600000.0,2020-08-20 00:00:00,ETH/USD,407.57,419.45,402.34,416.22,9955.428560713084,4143648.47554
1597795200000.0,2020-08-19 00:00:00,ETH/USD,422.2,426.77,393.12,407.57,19430.50182113502,7919289.62724
1597708800000.0,2020-08-18 00:00:00,ETH/USD,431.2,434.18,415.0,422.2,14948.037617337755,6311061.48204
1597622400000.0,2020-08-17 00:00:00,ETH/USD,433.91,447.7,420.51,431.04,20111.19717339458,8668730.42962
1597536000000.0,2020-08-16 00:00:00,ETH/USD,432.84,437.04,412.61,433.91,9056.408191191722,3929666.07824
1597449600000.0,2020-08-15 00:00:00,ETH/USD,438.76,443.36,427.34,432.84,13567.156915188061,5872408.19917
1597363200000.0,2020-08-14 00:00:00,ETH/USD,425.3,444.48,417.95,438.76,22512.546519509528,9877604.9109
1597276800000.0,2020-08-13 00:00:00,ETH/USD,387.28,432.04,376.9,425.3,16767.47019097108,7131205.07222
1597190400000.0,2020-08-12 00:00:00,ETH/USD,378.88,389.42,366.72,387.28,16487.71749697893,6385363.23223
1597104000000.0,2020-08-11 00:00:00,ETH/USD,395.9,398.52,366.77,378.88,15544.31193079603,5889428.90434
1597017600000.0,2020-08-10 00:00:00,ETH/USD,390.38,399.99,385.88,395.91,10485.278491879468,4151226.60772
1596931200000.0,2020-08-09 00:00:00,ETH/USD,397.28,400.47,383.77,390.38,10393.904907833394,4057572.59792
1596844800000.0,2020-08-08 00:00:00,ETH/USD,379.57,397.53,376.47,397.28,10149.900880739026,4032352.6219
1596758400000.0,2020-08-07 00:00:00,ETH/USD,395.26,398.62,362.46,379.57,18089.135397713202,6866093.12291
1596672000000.0,2020-08-06 00:00:00,ETH/USD,401.22,404.12,391.31,395.26,16571.325066260186,6549981.94569
1596585600000.0,2020-08-05 00:00:00,ETH/USD,389.84,407.66,384.38,401.22,22176.56546575445,8897681.59617
1596499200000.0,2020-08-04 00:00:00,ETH/USD,386.3,403.21,380.9,389.7,21177.250916140623,8252774.68202
1596412800000.0,2020-08-03 00:00:00,ETH/USD,372.23,398.32,366.68,386.3,28988.658762205538,11198318.87984
1596326400000.0,2020-08-02 00:00:00,ETH/USD,387.39,416.06,320.0,372.23,32994.088783547806,12281389.6679
1596240000000.0,2020-08-01 00:00:00,ETH/USD,346.73,393.77,295.23,387.39,24950.847560520408,9665708.83647
1596153600000.0,2020-07-31 00:00:00,ETH/USD,335.25,349.78,328.72,346.73,16205.02677838664,5618768.93487
1596067200000.0,2020-07-30 00:00:00,ETH/USD,318.15,342.55,314.87,335.24,16767.84610819115,5621252.72931
1595980800000.0,2020-07-29 00:00:00,ETH/USD,317.3,325.52,312.86,318.04,14180.807624575526,4510064.05692
1595894400000.0,2020-07-28 00:00:00,ETH/USD,322.31,327.26,306.07,317.3,26992.744430381343,8564797.80776
1595808000000.0,2020-07-27 00:00:00,ETH/USD,311.31,334.01,307.0,322.31,37128.0388933325,11966738.21571
1595721600000.0,2020-07-26 00:00:00,ETH/USD,305.53,320.77,298.04,311.31,26353.413045163983,8204081.01509
1595635200000.0,2020-07-25 00:00:00,ETH/USD,279.49,309.14,279.49,305.53,22934.549757110595,7007192.98729
1595548800000.0,2020-07-24 00:00:00,ETH/USD,275.57,287.77,268.12,279.49,16484.721464703565,4607314.80217
1595462400000.0,2020-07-23 00:00:00,ETH/USD,264.3,280.43,260.14,275.57,18815.986167652503,5185121.30822
1595376000000.0,2020-07-22 00:00:00,ETH/USD,245.81,269.59,241.48,264.3,17903.38901978812,4731865.71793
1595289600000.0,2020-07-21 00:00:00,ETH/USD,236.03,246.96,235.63,245.81,21049.449667344696,5174165.22273
1595203200000.0,2020-07-20 00:00:00,ETH/USD,239.19,239.78,234.2,236.03,13126.09078498496,3098151.20798
1595116800000.0,2020-07-19 00:00:00,ETH/USD,235.74,239.86,233.33,239.19,7953.277187173377,1902344.3704
1595030400000.0,2020-07-18 00:00:00,ETH/USD,232.6,236.97,232.31,235.75,8739.03260275716,2060226.9361
1594944000000.0,2020-07-17 00:00:00,ETH/USD,233.43,234.55,231.46,232.6,9571.31376384351,2226287.58147
1594857600000.0,2020-07-16 00:00:00,ETH/USD,238.45,239.21,225.81,233.43,24015.24756445187,5605879.23897
1594771200000.0,2020-07-15 00:00:00,ETH/USD,240.46,241.49,236.65,238.45,10688.527701069406,2548679.43032
1594684800000.0,2020-07-14 00:00:00,ETH/USD,239.37,242.11,236.95,240.42,9264.311803385743,2227325.84377
1594598400000.0,2020-07-13 00:00:00,ETH/USD,242.87,245.24,237.29,239.37,14431.784727785436,3454536.31029
1594512000000.0,2020-07-12 00:00:00,ETH/USD,239.14,243.93,236.46,242.87,12862.186502861614,3123839.23595
