unix,open,high,low,close,volume
1609718400,33068.83,33669.76,27734,32005.88,718434068.2
1609632000,32216.51,34800,31977.45,33097.83,468684511.9
1609545600,29410.77,33333,29050,32216.53,575641056.6
1609459200,28999.63,29700,28720,29402.64,258198270.4
1609372800,28893.21,29300,27930.75,28992.79,274784287.9
1609286400,27370,29010.32,27328.37,28881.3,339116524.3
1609200000,27037.9,27395,25831.85,27370,262130106.8
1609113600,26242.82,27473.49,26079.6,27037.91,215972812.1
1609027200,26472.89,28377.94,25770,26259.6,347528320.5
1608940800,24714.01,26809.5,24485.32,26466.28,198271126.8
1608854400,23747.22,24777,23403.82,24705.15,159823272.2
1608768000,23215,23779.14,22700.1,23726.28,170484759.2
1608681600,23819.08,24096.9,22624.92,23247.71,268324356.8
1608595200,22750.07,23843.21,22383.59,23835.1,223277908.8
1608508800,23470.85,24123.83,21864.86,22732.01,288131136.9
1608422400,23842.38,24298.04,23092.77,23470.85,119606574.7
1608336000,23142.05,24217.38,22719.78,23842.99,206767308.1
1608249600,22829.89,23284.68,22360.93,23136.14,262834391.3
1608163200,21358.96,23777,21244.04,22814.24,516210793.8
1608076800,19434.55,21576.76,19277.66,21365.7,319943277.9
1607990400,19274.33,19567.84,19050,19434.87,131200380
1607904000,19151.82,19346.9,18979.21,19274.33,69741790.52
1607817600,18806.83,19416.64,18628.1,19162.36,81477611.42
1607731200,18031.23,18956.46,18022.55,18815.63,66143093.03
1607644800,18250.3,18290.43,17569.58,18040.02,120650258.8
1607558400,18546.38,18562.13,17908,18250.3,123818348.1
1607472000,18311.31,18654.92,17640.33,18556.64,165282976.5
1607385600,19183.13,19300.55,18163.52,18316.43,109531632.9
1607299200,19385.13,19431,18905,19173.5,82892225.81
1607212800,19162.17,19418.39,18870.62,19380.58,48518395.62
1607126400,18650.08,19185.17,18500,19162.16,45543150.69
1607040000,19439.94,19552.5,18573.89,18673.76,116929422.2
1606953600,19220.09,19621,18881.62,19448.4,120512498.2
1606867200,18773.21,19346.9,18334,19226.55,129766984.8
1606780800,19703.53,19918.01,18100,18771.43,221495167.1
1606694400,18196.75,19864.15,18196.75,19700.19,209071633.6
1606608000,17724.41,18352.47,17534.87,18192.03,67968319.88
1606521600,17160.38,17896.03,16875.01,17741.79,79332804.74
1606435200,17168.31,17471.89,16435.47,17154.39,153786231.8
1606348800,18727.24,18911.04,16218,17160.09,367654697.6
1606262400,19175.13,19490,18470.91,18732.43,167891694
1606176000,18386.92,19442.13,18068.56,19160.85,254127118.6
1606089600,18432.6,18786.31,18001.95,18383.35,173025693.6
1606003200,18726.43,18770.55,17600,18435.2,118302692.1
1605916800,18685.08,18977,18333.45,18725,111179787.9
1605830400,17822.37,18824.88,17755.81,18687.65,187250505.5
1605744000,17792.96,18189.97,17346.62,17825.47,187286802.6
1605657600,17681.77,18483,17041.47,17785.95,279558152
1605571200,16727.85,17868,16570,17680.63,173707566.8
1605484800,15975.49,16894.93,15875.5,16724.62,125630576.3
1605398400,16092.8,16170,15786.46,15975.49,51532223.24
1605312000,16339.06,16341.89,15715.1,16086.34,81176927.13
1605225600,16300,16494.52,15970.33,16335.58,128123616.6
1605139200,15702,16369.99,15481,16300,265061980.4
1605052800,15314.94,15991.01,15290.85,15707.89,157287253.7
1604966400,15349.32,15482.76,15092.47,15313.65,137309562.7
1604880000,15484.68,15854.48,14824.66,15332.04,221794510.1
1604793600,14829.32,15664.9,14727.19,15489.15,78165982.53
1604707200,15603.28,15778.6,14351,14838.97,162248173.1
1604620800,15608.32,15968.98,15196.01,15598.09,210253940.5
1604534400,14168.49,15770.58,14100,15605.04,287485907.1
