,date,open,high,low,close,volume,market cap,unix
674,Jun-11-2017,340.609,414.756,340.609,398.579,1835925261,34463861578,1497110400
675,Jun-12-2017,401.49,411.178,370.057,397.055,2553800903,35725332597,1497196800
676,Jun-13-2017,397.537,399.324,342.215,358.528,1220430170,35362539531,1497283200
677,Jun-14-2017,359.053,364.439,300.7,361.272,1900426934,31337376665,1497369600
678,Jun-15-2017,361.933,373.055,341.417,370.29,1824192604,33497099264,1497456000
679,Jun-16-2017,370.227,378.96,364.002,378.96,930201767.4,34481260307,1497542400
680,Jun-17-2017,379.414,390.581,368.844,371.657,951099006.9,35091392635,1497628800
681,Jun-18-2017,371.458,377.115,369.763,370.106,744017829.3,34544099689,1497715200
682,Jun-19-2017,370.056,377.969,350.942,358.984,780757871.5,34359618933,1497801600
683,Jun-20-2017,359.005,361.343,319.479,335.167,1133066090,31745629267,1497888000
684,Jun-21-2017,336.872,342.027,330.622,336.114,1361206394,31254464129,1497974400
685,Jun-22-2017,336.371,348.006,334.99,341.841,764128354.2,31700429234,1498060800
686,Jun-23-2017,341.739,343.621,322.087,324.056,576645222.2,31282032793,1498147200
687,Jun-24-2017,323.696,332.792,284.646,303.764,832706177.1,29596643224,1498233600
688,Jun-25-2017,303.248,311.458,238.649,273.647,1448023080,26239876121,1498320000
689,Jun-26-2017,272.692,291.031,227.137,291.031,1893618271,24066849277,1498406400
690,Jun-27-2017,293.088,333.104,276.414,329.098,2134729267,27982976577,1498492800
691,Jun-28-2017,327.927,330.708,297.373,303.24,1851822639,29461464332,1498579200
692,Jun-29-2017,302.883,315.172,288.443,292.678,1208041617,28203183500,1498665600
693,Jun-30-2017,294.916,294.916,268.617,274.444,1105637212,25947193964,1498752000
694,Jul-01-2017,274.601,295.509,262.52,289.406,1018498837,25643786007,1498838400
695,Jul-02-2017,287.987,291.104,281.176,283.224,1048193194,26625142216,1498924800
696,Jul-03-2017,282.898,287.388,273.111,273.771,722967414.6,26122426587,1499011200
697,Jul-04-2017,273.303,275.125,261.447,268.874,751841770.8,24960804844,1499097600
698,Jul-05-2017,268.774,278.476,265.512,270.964,731961871.5,25188958931,1499184000
699,Jul-06-2017,270.549,273.943,244.174,247.29,588282662,24112282475,1499270400
700,Jul-07-2017,245.991,273.477,236.551,251.219,811300430.6,22996665775,1499356800
701,Jul-08-2017,251.697,255.105,242.229,242.229,590868611.1,23065700324,1499443200
702,Jul-09-2017,242.137,243.071,196.965,215.896,554496533.1,21688940090,1499529600
703,Jul-10-2017,215.357,220.291,183.392,198.541,1420542278,18359951519,1499616000
704,Jul-11-2017,197.404,228.99,189.589,228.99,1150225371,19495729820,1499702400
705,Jul-12-2017,230.774,231.812,200.065,210.38,1090167276,20102076185,1499788800
706,Jul-13-2017,209.733,211.101,187.374,199.672,712601087.1,18645517453,1499875200
707,Jul-14-2017,199.662,200.161,171.77,171.77,799601381.9,17291280565,1499961600
708,Jul-15-2017,170.655,172.014,133.723,158.797,1098166330,14543522080,1500048000
709,Jul-16-2017,157.363,194.753,157.363,192.824,1592966667,16357391185,1500134400
710,Jul-17-2017,193.424,267.986,182.059,233.001,1812453937,19267669201,1500220800
711,Jul-18-2017,234.391,245.651,191.745,198.367,2900202153,21142605511,1500307200
712,Jul-19-2017,199.703,233.904,199.703,225.323,2409100972,21054844745,1500393600
713,Jul-20-2017,227.265,235.118,213.01,218.167,1611662613,20886169264,1500480000
714,Jul-21-2017,218.305,232.696,216.868,229.868,763443996.5,20889687765,1500566400
715,Jul-22-2017,229.476,231.68,217.722,225.545,656075732.6,21110253962,1500652800
716,Jul-23-2017,225.951,227.538,222.453,224.409,524937791.7,21068497349,1500739200
717,Jul-24-2017,224.711,225.324,195.845,208.145,709796508.7,19739568909,1500825600
718,Jul-25-2017,206.71,210.767,194.784,203.728,983763829.9,18916618769,1500912000
719,Jul-26-2017,203.953,206.444,201.26,204.243,493846975.7,19159736094,1500998400
720,Jul-27-2017,204.318,204.897,192.304,193.123,482348379.8,18612255214,1501084800
721,Jul-28-2017,193.341,208.679,179.647,205.33,607861309,17688083015,1501171200
722,Jul-29-2017,205.789,208.541,196.149,197.675,811532604.2,18890716491,1501257600
723,Jul-30-2017,197.978,203.656,193.411,203.151,498212458.3,18547753282,1501344000
724,Jul-31-2017,203.871,227.744,203.871,226.925,1213504334,20603211501,1501430400
725,Aug-01-2017,226.769,229.512,218.118,219.832,1013559705,20933471284,1501516800
726,Aug-02-2017,219.952,228.292,219.888,225.263,572708364.6,21018825344,1501603200
727,Aug-03-2017,225.342,227.621,222.057,223.073,587332797.9,21051445626,1501689600
728,Aug-04-2017,222.852,254.876,221.952,254.876,864266477.5,22342806198,1501776000
729,Aug-05-2017,256.507,271.049,252.852,262.402,1571352188,24507807051,1501862400
730,Aug-06-2017,261.567,271.963,256.689,269.02,1098853917,24873035961,1501948800
731,Aug-07-2017,269.18,298.907,266.796,296.11,1104618655,26425531429,1502035200
732,Aug-08-2017,296.769,318.716,276.69,296.396,2357694965,28194696043,1502121600
733,Aug-09-2017,296.027,306.593,289.926,297.004,1676833889,28232134767,1502208000
734,Aug-10-2017,295.892,309.209,294.495,309.209,976042111.5,28078912218,1502294400
735,Aug-11-2017,308.864,317.56,307.896,310.834,1141006264,29391997811,1502380800
736,Aug-12-2017,310.601,310.816,289.314,297.55,1281718646,27939361293,1502467200
737,Aug-13-2017,298.064,306.807,296.412,300.159,1016987497,28305257099,1502553600
738,Aug-14-2017,300.097,300.206,279.327,289.499,947846947.7,27368753819,1502640000
739,Aug-15-2017,289.818,303.413,285.385,302.392,974781708.3,27837858656,1502726400
740,Aug-16-2017,302.267,311.028,300.25,302.463,926224826.4,28752742413,1502812800
741,Aug-17-2017,301.457,307.96,292.499,295.606,927505425.1,28404169488,1502899200
742,Aug-18-2017,295.59,301.667,286.183,297.577,887060788.2,27839631816,1502985600
743,Aug-19-2017,297.47,301.306,291.58,301.295,708165437.5,27787997159,1503072000
744,Aug-20-2017,301.428,347.049,297.234,321.434,1600746462,30223018813,1503158400
745,Aug-21-2017,321.591,327.361,297.913,315.476,1951347491,29358139990,1503244800
746,Aug-22-2017,314.785,324.21,314.539,318.026,951500677.1,30116238219,1503331200
747,Aug-23-2017,317.519,327.96,317.081,325.516,723216420.1,30324158519,1503417600
748,Aug-24-2017,325.611,336.398,325.611,331.871,793443784,31352639295,1503504000
749,Aug-25-2017,331.915,334.985,327.919,333.861,592930847.2,31201947129,1503590400
750,Aug-26-2017,333.882,346.588,333.882,346.588,548394982.6,31890326608,1503676800
751,Aug-27-2017,347.893,352.054,338.407,347.834,853610894.7,32661964629,1503763200
752,Aug-28-2017,347.747,373.763,347.747,371.231,913421611.1,33949737244,1503849600
753,Aug-29-2017,370.667,388.748,361.971,378.346,1388277535,35451533279,1503936000
754,Aug-30-2017,378.485,386.139,376.354,383.085,946248884.9,35933903031,1504022400
755,Aug-31-2017,383.042,390.044,383.042,387.581,787563062.7,36630785738,1504108800
756,Sep-01-2017,387.741,389.353,328.095,347.198,1182787109,33693708411,1504195200
757,Sep-02-2017,348.984,366.487,332.232,347.418,1249670620,32884478220,1504281600
758,Sep-03-2017,347.484,347.484,279.939,295.251,1251001378,29404935156,1504368000
759,Sep-04-2017,295.171,318.572,268.285,313.196,1830184271,28279302549,1504454400
760,Sep-05-2017,312.988,334.658,312.988,334.045,1308790139,30968853637,1504540800
761,Sep-06-2017,334.338,334.338,319.939,329.172,821885914,30818568733,1504627200
762,Sep-07-2017,329.428,329.636,285.157,296.662,755574846.2,29631062273,1504713600
763,Sep-08-2017,296.497,299.891,287.22,294.317,946916233.4,27692911486,1504800000
764,Sep-09-2017,294.405,294.764,268.973,288.722,600371355.4,26922473821,1504886400
765,Sep-10-2017,288.747,300.688,286.685,294.326,654094871.1,27786948241,1504972800
766,Sep-11-2017,294.532,311.195,287.228,291.464,624470672.7,28295566105,1505059200
767,Sep-12-2017,291.122,291.122,260.61,277.133,843924340.3,26105101237,1505145600
768,Sep-13-2017,277.112,280.84,214.172,214.172,942577809,23800400161,1505232000
769,Sep-14-2017,213.908,258.655,195.035,251.187,1668382160,22062390887,1505318400
770,Sep-15-2017,250.464,262.593,238.223,246.419,1370265976,23679488724,1505404800
771,Sep-16-2017,246.522,256.996,235.24,251.904,507871132.4,23250092978,1505491200
772,Sep-17-2017,251.749,292.895,251.749,292.832,916869304.2,26697759271,1505577600
773,Sep-18-2017,293.497,295.768,274.484,282.922,797260271.8,27011224226,1505664000
774,Sep-19-2017,282.804,290.886,278.049,284.252,496045996.5,26922208794,1505750400
775,Sep-20-2017,283.742,286.61,255.016,258.705,446610751.7,26094323329,1505836800
776,Sep-21-2017,258.58,270.54,256.218,264.854,594069351.9,24826162850,1505923200
777,Sep-22-2017,264.31,285.838,261.12,285.838,423384975.7,26052491677,1506009600
778,Sep-23-2017,286.168,292.948,278.132,282.367,574672629.4,27025333356,1506096000
779,Sep-24-2017,282.483,293.515,281.876,292.234,474521178.3,27352755142,1506182400
780,Sep-25-2017,292.332,293.75,287.02,287.504,420815312.5,27525631923,1506268800
781,Sep-26-2017,287.438,308.015,286.82,306.727,391422813.1,27897109059,1506355200
782,Sep-27-2017,306.467,307.198,295.47,299.412,597511916.7,28565281678,1506441600
783,Sep-28-2017,299.155,299.924,279.773,289.109861,496375516.6,27460124780,1506528000
784,Sep-29-2017,289.1260548,300.6179243,288.952661,298.9409567,296498909.9,28347769726,1506614400
785,Sep-30-2017,298.8268673,301.493805,294.4695118,300.4960647,242202867.2,28504592052,1506700800
786,Oct-01-2017,300.5386246,301.0847565,294.465895,296.3808143,259768517.8,28504194739,1506787200
787,Oct-02-2017,296.6148936,299.0422738,287.4339362,292.0637086,254735553.3,27872020014,1506873600
788,Oct-03-2017,292.2796823,295.1497521,290.7781933,293.7053341,222492176.2,27929169202,1506960000
789,Oct-04-2017,293.682873,296.6085122,288.640594,294.6775109,204764059.2,27746437195,1507046400
790,Oct-05-2017,294.6638894,307.9347872,294.1255497,307.9347872,184992557.2,28460439099,1507132800
791,Oct-06-2017,307.5341239,311.9693389,304.3555352,309.9895259,303422373.2,29391063739,1507219200
792,Oct-07-2017,309.678413,311.7838371,308.4938978,309.811322,218195274.1,29585039232,1507305600
793,Oct-08-2017,309.7042047,309.7812024,263.5186898,296.99616,368295703.2,28553748277,1507392000
794,Oct-09-2017,297.5002151,306.1746389,293.4721415,300.2754077,451671954.7,28540657092,1507478400
795,Oct-10-2017,300.5591495,304.2419279,298.9272652,302.9383425,270019247.3,28771455258,1507564800
796,Oct-11-2017,303.0804173,308.3137443,302.6219204,305.0868614,227259613.8,29123643079,1507651200
797,Oct-12-2017,305.1568818,348.1339022,303.1231592,338.7749036,477346545.6,31193817025,1507737600
798,Oct-13-2017,338.8787419,346.7591748,333.5560633,337.7705022,419641203.6,32496596240,1507824000
799,Oct-14-2017,338.1000247,340.9242845,317.7212886,334.817369,294650954.3,31763077963,1507910400
800,Oct-15-2017,335.1637861,347.8988707,331.7400759,332.4421262,599961581.5,32327742278,1507996800
801,Oct-16-2017,332.5860999,332.8374587,311.991966,317.1249474,406651991.4,30881893261,1508083200
802,Oct-17-2017,317.1917878,317.1917878,292.6895311,313.8903638,436739892,29115088114,1508169600
803,Oct-18-2017,314.3032692,316.521604,305.6720733,307.3545504,402450009.6,29531216222,1508256000
804,Oct-19-2017,307.2148428,309.9215372,302.116948,303.577753,266506836.6,29211876366,1508342400
805,Oct-20-2017,303.4602659,303.8270598,293.1234679,299.0107067,356929536,28479437621,1508428800
806,Oct-21-2017,299.0823803,304.4498999,292.7671421,295.586272,303345102.6,28407943029,1508515200
807,Oct-22-2017,295.8086058,295.8086058,279.2188465,286.5182333,298217812.7,27309836754,1508601600
808,Oct-23-2017,286.4660757,310.8163682,282.2194451,298.1726424,625762377.7,29008458689,1508688000
809,Oct-24-2017,298.2947108,301.6399121,291.5419591,296.9471254,343714130.9,28295812531,1508774400
810,Oct-25-2017,296.7839742,298.4766199,293.652057,296.3462658,214452409.3,28347378154,1508860800
811,Oct-26-2017,296.3910309,299.2108037,294.4221285,295.778269,196927997,28316202665,1508947200
812,Oct-27-2017,296.154229,299.0560776,291.4725788,295.7438877,191339732.7,28325719086,1509033600
813,Oct-28-2017,295.7261089,311.4566136,295.7261089,303.9242481,295648761.4,28882719847,1509120000
814,Oct-29-2017,303.4788984,309.5451701,301.6943864,302.8218083,388023231.5,29209828350,1509206400
815,Oct-30-2017,302.6338706,305.0759216,300.5034864,302.3339092,257123664.6,29326307204,1509292800
