,long_term_period,bb_period,multiple,atr_period,win_rate,equity,risk/reward
1755,60.0,9.0,1.1,4.0,0.5833333333333334,1.5645225674506265,1.618773304830628
1756,60.0,9.0,1.1,6.0,0.5737704918032787,1.5404281702639149,1.61843343314402
1757,60.0,9.0,1.1,8.0,0.5737704918032787,1.5401750027879413,1.5990099123225678
1759,60.0,9.0,1.1,12.0,0.5737704918032787,1.533556011520764,1.5698581312537354
1760,60.0,9.0,1.1,14.0,0.5833333333333334,1.5690732888026904,1.5545015064755403
1761,60.0,9.0,1.1,16.0,0.5833333333333334,1.5693991501472082,1.5450148091217337
1762,60.0,9.0,1.1,18.0,0.5833333333333334,1.5776302961723585,1.5317543745364548
1781,60.0,9.0,1.3000000000000003,20.0,0.5686274509803921,1.5085486590343957,1.7124760169184396
2934,70.0,6.0,1.4000000000000004,4.0,0.6521739130434783,1.6992354090885908,1.551092150092954
2935,70.0,6.0,1.4000000000000004,6.0,0.6197183098591549,1.6413647173640473,1.6268967997835162
3007,70.0,7.0,1.3000000000000003,6.0,0.6,1.580758491046181,1.5677219843800467
3015,70.0,7.0,1.4000000000000004,4.0,0.6071428571428571,1.557414197294845,1.74303762967634
3018,70.0,7.0,1.4000000000000004,10.0,0.5862068965517241,1.508645800790283,1.6806797746464213
3019,70.0,7.0,1.4000000000000004,12.0,0.5862068965517241,1.5130551245070278,1.681162891547368
3020,70.0,7.0,1.4000000000000004,14.0,0.5862068965517241,1.5125259527872166,1.651961588188484
3087,70.0,8.0,1.2000000000000002,4.0,0.5915492957746479,1.640867354002435,1.5636764510367154
3088,70.0,8.0,1.2000000000000002,6.0,0.5753424657534246,1.6202570249266721,1.6045851324055307
3089,70.0,8.0,1.2000000000000002,8.0,0.5833333333333334,1.6489082586458335,1.5947570934348403
3090,70.0,8.0,1.2000000000000002,10.0,0.5833333333333334,1.596976953370439,1.5298639211831053
3091,70.0,8.0,1.2000000000000002,12.0,0.5915492957746479,1.636071047409533,1.5098320936049394
3096,70.0,8.0,1.3000000000000003,4.0,0.578125,1.6699444918874085,1.713759077816251
3097,70.0,8.0,1.3000000000000003,6.0,0.5538461538461539,1.5676277948686002,1.7753523319969984
3098,70.0,8.0,1.3000000000000003,8.0,0.5625,1.596930029349254,1.7572477614977149
3099,70.0,8.0,1.3000000000000003,10.0,0.578125,1.646421118924619,1.657502602340238
3100,70.0,8.0,1.3000000000000003,12.0,0.578125,1.6502837041397667,1.6451331585952613
3101,70.0,8.0,1.3000000000000003,14.0,0.5873015873015873,1.6514958145481295,1.605711214909899
3102,70.0,8.0,1.3000000000000003,16.0,0.5806451612903226,1.5778233206525953,1.6169761537831626
3103,70.0,8.0,1.3000000000000003,18.0,0.5806451612903226,1.581098408953672,1.6078532744725036
3104,70.0,8.0,1.3000000000000003,20.0,0.5901639344262295,1.6003499963337817,1.6015283800922702
3159,70.0,9.0,1.0,4.0,0.6,1.598571555143692,1.5129152622209259
3160,70.0,9.0,1.0,6.0,0.569620253164557,1.5290494672916428,1.5437337620104974
3161,70.0,9.0,1.0,8.0,0.5844155844155844,1.5874958710544451,1.5135719754744936
3186,70.0,9.0,1.3000000000000003,4.0,0.5660377358490566,1.530598288341315,1.7542820866380038
3190,70.0,9.0,1.3000000000000003,12.0,0.5555555555555556,1.5124287951874167,1.715204104155203
3191,70.0,9.0,1.3000000000000003,14.0,0.5555555555555556,1.5118795436042762,1.6979861115372148
3192,70.0,9.0,1.3000000000000003,16.0,0.5555555555555556,1.5082174959889725,1.6932582933626632
3193,70.0,9.0,1.3000000000000003,18.0,0.5555555555555556,1.509621606884273,1.6855885352356237
3194,70.0,9.0,1.3000000000000003,20.0,0.5849056603773585,1.5636418774104999,1.6347028556108303
3275,70.0,10.0,1.2000000000000002,20.0,0.6122448979591837,1.5034894992825794,1.5043379518435036
3284,70.0,10.0,1.3000000000000003,20.0,0.6086956521739131,1.5101977632823365,1.6117903671431242
4348,80.0,6.0,1.4000000000000004,6.0,0.6216216216216216,1.5791677810645681,1.530009935508282
4428,80.0,7.0,1.4000000000000004,4.0,0.6065573770491803,1.573143286733781,1.6424022863174872
4431,80.0,7.0,1.4000000000000004,10.0,0.5967741935483871,1.5553392042415235,1.6050433456575486
4432,80.0,7.0,1.4000000000000004,12.0,0.5967741935483871,1.5618917422821452,1.6000149173853777
4433,80.0,7.0,1.4000000000000004,14.0,0.5967741935483871,1.56156298866329,1.5719254549115256
4501,80.0,8.0,1.2000000000000002,6.0,0.5844155844155844,1.6408710454353024,1.5251838315002866
4502,80.0,8.0,1.2000000000000002,8.0,0.5921052631578947,1.6638917385951977,1.5227756371406593
4509,80.0,8.0,1.3000000000000003,4.0,0.5882352941176471,1.7140083684507739,1.635733442847291
4510,80.0,8.0,1.3000000000000003,6.0,0.5735294117647058,1.6419442819066064,1.6933296632416721
4511,80.0,8.0,1.3000000000000003,8.0,0.582089552238806,1.6645332853773473,1.6888331825176215
4512,80.0,8.0,1.3000000000000003,10.0,0.5970149253731343,1.718900779542578,1.6000163190983276
4513,80.0,8.0,1.3000000000000003,12.0,0.5970149253731343,1.7223553641831284,1.5818840750383276
4514,80.0,8.0,1.3000000000000003,14.0,0.6060606060606061,1.7215646481047426,1.5446408449428883
4515,80.0,8.0,1.3000000000000003,16.0,0.6,1.6433015994991378,1.5554418256776115
4516,80.0,8.0,1.3000000000000003,18.0,0.6,1.64736546847739,1.5477417226040509
4517,80.0,8.0,1.3000000000000003,20.0,0.609375,1.6685975787376528,1.5431463261714353
4599,80.0,9.0,1.3000000000000003,4.0,0.5714285714285714,1.558245800678846,1.6837220765160699
4600,80.0,9.0,1.3000000000000003,6.0,0.5517241379310345,1.5497683944608982,1.7486830697581057
4601,80.0,9.0,1.3000000000000003,8.0,0.5614035087719298,1.5874115857945994,1.7423217735340208
4602,80.0,9.0,1.3000000000000003,10.0,0.5614035087719298,1.5414208405837069,1.6948861513450508
