https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1592146800000.0,2020-06-14 15:00:00,ETH/USD,234.16,235.59,233.99,235.36,414.62167709041466,97585.35792
1592143200000.0,2020-06-14 14:00:00,ETH/USD,235.41,235.56,232.71,234.16,270.4549801844893,63329.73816
1592139600000.0,2020-06-14 13:00:00,ETH/USD,235.97,235.97,234.75,235.41,27.899431927275817,6567.80527
1592136000000.0,2020-06-14 12:00:00,ETH/USD,236.15,236.44,235.2,235.97,1313.2866619485526,309896.25362
1592132400000.0,2020-06-14 11:00:00,ETH/USD,236.14,236.89,235.99,236.15,111.37469646411178,26301.13457
1592128800000.0,2020-06-14 10:00:00,ETH/USD,235.8,236.24,235.71,236.14,15.904715211315322,3755.73945
1592125200000.0,2020-06-14 09:00:00,ETH/USD,236.18,236.32,235.73,235.8,75.03161772688719,17692.45546
1592121600000.0,2020-06-14 08:00:00,ETH/USD,235.0,236.47,234.45,236.18,472.82332911338807,111671.41387
1592118000000.0,2020-06-14 07:00:00,ETH/USD,234.41,235.33,233.68,235.0,188.08454165957448,44199.86729
1592114400000.0,2020-06-14 06:00:00,ETH/USD,236.22,236.58,233.68,234.41,424.2243705473316,99442.4347
1592110800000.0,2020-06-14 05:00:00,ETH/USD,237.15,237.43,235.61,236.48,69.860225811908,16520.5462
1592107200000.0,2020-06-14 04:00:00,ETH/USD,237.55,237.82,237.02,237.15,75.27212823107737,17850.78521
1592103600000.0,2020-06-14 03:00:00,ETH/USD,237.96,237.96,237.44,237.55,98.52000311513365,23403.42674
1592100000000.0,2020-06-14 02:00:00,ETH/USD,237.48,238.52,237.48,237.96,155.92131383425783,37103.03584
1592096400000.0,2020-06-14 01:00:00,ETH/USD,237.72,237.84,237.25,237.48,32.39503482398518,7693.17287
1592092800000.0,2020-06-14 00:00:00,ETH/USD,238.15,238.28,237.46,237.72,1275.0400440434123,303102.51927
1592089200000.0,2020-06-13 23:00:00,ETH/USD,237.94,238.5,237.93,238.12,1438.566684276835,342551.49886
1592085600000.0,2020-06-13 22:00:00,ETH/USD,237.19,238.02,237.19,237.97,23.948422952473,5699.00621
1592082000000.0,2020-06-13 21:00:00,ETH/USD,236.97,237.61,236.92,237.28,8.628384229602158,2047.34301
1592078400000.0,2020-06-13 20:00:00,ETH/USD,236.86,237.55,235.98,236.97,188.79265957716166,44738.19654
1592074800000.0,2020-06-13 19:00:00,ETH/USD,237.45,238.76,236.32,236.86,168.42730908553577,39893.69243
1592071200000.0,2020-06-13 18:00:00,ETH/USD,237.13,238.0,237.07,237.45,54.29212613181723,12891.66535
1592067600000.0,2020-06-13 17:00:00,ETH/USD,237.21,237.63,236.92,237.13,22.81748791801965,5410.71091
1592064000000.0,2020-06-13 16:00:00,ETH/USD,237.15,237.74,236.65,237.21,364.6305079043885,86494.00278
1592060400000.0,2020-06-13 15:00:00,ETH/USD,237.75,238.17,236.99,237.15,120.24866173308033,28516.97013
1592056800000.0,2020-06-13 14:00:00,ETH/USD,236.37,238.41,236.35,237.75,159.9332022292324,38024.11883
1592053200000.0,2020-06-13 13:00:00,ETH/USD,236.42,236.56,235.63,236.37,22.79832673351102,5388.84049
1592049600000.0,2020-06-13 12:00:00,ETH/USD,235.55,236.82,234.99,236.42,87.41251772269689,20666.06744
1592046000000.0,2020-06-13 11:00:00,ETH/USD,235.85,236.02,234.98,235.55,56.93425710040331,13410.86426
