https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1624147200000.0,2021-06-20 00:00:00,XRP/USD,0.758075,0.78455,0.696525,0.7741,25680676.85531585,19879411.9537
1624060800000.0,2021-06-19 00:00:00,XRP/USD,0.79705,0.805775,0.755725,0.758075,11420332.986149127,8657468.928475
1623974400000.0,2021-06-18 00:00:00,XRP/USD,0.84145,0.844675,0.769575,0.79705,13724952.126152689,10939473.09215
1623888000000.0,2021-06-17 00:00:00,XRP/USD,0.831875,0.860975,0.8233,0.84145,8912345.059421236,7499292.75025
1623801600000.0,2021-06-16 00:00:00,XRP/USD,0.86655,0.873275,0.826225,0.831875,10057148.242734786,8366290.194425
1623715200000.0,2021-06-15 00:00:00,XRP/USD,0.89085,0.902,0.855325,0.86655,10485380.298482487,9086106.29765
1623628800000.0,2021-06-14 00:00:00,XRP/USD,0.88355,0.930925,0.863325,0.89085,25921901.45874726,23092525.914525
1623542400000.0,2021-06-13 00:00:00,XRP/USD,0.832175,0.8884,0.81765,0.88355,11657307.669571616,10299814.19145
1623456000000.0,2021-06-12 00:00:00,XRP/USD,0.847475,0.848625,0.805675,0.832175,13256993.450235829,11032138.52445
1623369600000.0,2021-06-11 00:00:00,XRP/USD,0.86925,0.88005,0.834,0.847475,13737955.893271187,11642574.17065
1623283200000.0,2021-06-10 00:00:00,XRP/USD,0.9231,0.931,0.8532,0.86925,16097296.600373887,13992575.069875
1623196800000.0,2021-06-09 00:00:00,XRP/USD,0.874025,0.922725,0.830525,0.922725,18433858.558860984,17009382.138725
1623110400000.0,2021-06-08 00:00:00,XRP/USD,0.8627,0.8863,0.784525,0.874025,28666230.145562194,25055001.802975
1623024000000.0,2021-06-07 00:00:00,XRP/USD,0.9468,0.9772,0.837425,0.8627,22610025.091080327,19505668.646075
1622937600000.0,2021-06-06 00:00:00,XRP/USD,0.923125,0.950325,0.917375,0.9468,9475383.099176172,8971292.7183
1622851200000.0,2021-06-05 00:00:00,XRP/USD,0.96915,0.997925,0.891125,0.923125,16087187.515829384,14850484.97555
1622764800000.0,2021-06-04 00:00:00,XRP/USD,1.0451,1.046575,0.915575,0.96915,24889699.866738897,24121852.62585
1622678400000.0,2021-06-03 00:00:00,XRP/USD,1.02415,1.0778,1.00735,1.0451,16435719.411061144,17176970.3565
1622592000000.0,2021-06-02 00:00:00,XRP/USD,1.010975,1.051,0.9797,1.02415,15337278.028560271,15707673.29295
1622505600000.0,2021-06-01 00:00:00,XRP/USD,1.041525,1.101475,0.9747,1.010975,30425235.287123814,30759152.2444
1622419200000.0,2021-05-31 00:00:00,XRP/USD,0.906775,1.050825,0.8803,1.041525,23666374.977844987,24649121.1988
1622332800000.0,2021-05-30 00:00:00,XRP/USD,0.830975,0.93405,0.7983,0.906775,22345231.376912687,20262097.1818
1622246400000.0,2021-05-29 00:00:00,XRP/USD,0.8987,0.94145,0.79385,0.830975,29231362.541171513,24290531.48765
1622160000000.0,2021-05-28 00:00:00,XRP/USD,0.976,0.985425,0.846,0.8987,30560760.623289194,27464955.57215
1622073600000.0,2021-05-27 00:00:00,XRP/USD,1.033825,1.0444,0.93355,0.976,17940440.34326332,17509869.775025
1621987200000.0,2021-05-26 00:00:00,XRP/USD,0.9759,1.069525,0.948,1.033825,22711604.975140862,23479825.013425
1621900800000.0,2021-05-25 00:00:00,XRP/USD,0.995,1.060725,0.88085,0.9759,35312787.98867712,34461749.79815
1621814400000.0,2021-05-24 00:00:00,XRP/USD,0.7906,1.0009,0.7545,0.995,36157393.65218593,35976606.683925
1621728000000.0,2021-05-23 00:00:00,XRP/USD,0.9059,0.970125,0.65,0.7906,58115807.339773595,45946357.282825
1621641600000.0,2021-05-22 00:00:00,XRP/USD,1.0082,1.016875,0.816925,0.9059,35243822.926868305,31927379.18945
1621555200000.0,2021-05-21 00:00:00,XRP/USD,1.18135,1.22105,0.864975,1.0082,68123323.08961515,68681934.33895
1621468800000.0,2021-05-20 00:00:00,XRP/USD,1.0583,1.2682,0.9069,1.18135,78173459.83736826,92350216.778875
